,price,num_parking,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,median_house_rent_per_week,median_apartment_rent_per_week,avg_years_held,year_sold,price_year_ratio,day_sold,region_fre,suburb_fre,region_price_diff,type_encoded,property_size_bin,suburb_house_price_bin,suburb_apartment_price_bin,num_bath_bed,house_rent_yield,apartment_rent_yield,property/room_ratio,English,Australian
2262,2155000.0,2,House,19627.0,27248,6.805,-33.86491,151.04789,28,1.5,174.0,14.99,555.0,510.0,13.4,2017,495.5401387512388,25,0.29984051036682613,0.0043859649122807015,-177830.45212765958,5,6,2,4,6,0.02886,0.03928888888888889,141.5,5.8,5.7
2263,921000.0,2,House,24373.0,22672,7.405,-33.8989,151.05729,37,0.75,169.6,14.61,580.0,445.0,13.3,2019,450.4950495049505,12,0.29984051036682613,0.0057814992025518345,-87830.45212765958,5,6,2,3,5,0.03314285714285714,0.03922033898305085,188.4,7.1,10.4
2264,1650000.0,3,House,9396.0,47112,5.117,-33.75342,151.06372,130,1.02,159.0,18.35,760.0,500.0,12.8,2019,841.5841584158416,13,0.06120414673046252,0.003987240829346092,-452687.2964169381,5,6,4,7,4,0.023247058823529412,0.026530612244897958,234.0,23.1,19.3
2265,960000.0,1,House,19326.0,33540,9.629,-33.77743,150.94272,38,0.25,165.9,26.58,425.0,405.0,12.2,2020,366.1553686293914,16,0.06120414673046252,0.003189792663476874,507312.7035830619,5,5,1,3,6,0.029864864864864865,0.03631034482758621,104.33333333333333,18.1,18.2
2266,2455000.0,3,House,1734.0,36296,1.359,-34.01833,151.12465,8,0.1,197.9,18.73,920.0,502.32034632034635,22.7,2021,692.3837784371909,13,0.06279904306220095,0.0021929824561403508,-437246.0317460317,5,7,3,7,9,0.034171428571428575,0.026384503039048497,118.0,24.2,20.9
2267,1420000.0,2,House,4253.0,37492,4.979,-33.86513,150.85951,83,0.1,210.1,32.42,697.958561852529,502.32034632034635,18.4,2021,455.48961424332344,7,0.29984051036682613,0.001594896331738437,-98830.45212765958,5,5,2,5,6,0.039406998063334975,0.03576580910589876,100.0,9.3,12.3
2268,1520000.0,2,House,8116.0,52884,1.287,-33.89452,151.1556,41,1.0,166.4,5.99,760.0,460.0,14.8,2019,742.5742574257425,21,0.1210127591706539,0.004784688995215311,146985.17298187804,5,4,3,5,7,0.026346666666666668,0.031893333333333336,50.142857142857146,22.4,17.7
2269,2380000.0,3,House,17300.0,48464,14.264,-33.72491,151.16978,167,0.1,183.1,15.99,1050.0,635.0,11.9,2021,939.6636993076162,13,0.03269537480063796,0.006578947368421052,-61280.48780487804,5,6,4,7,6,0.028736842105263158,0.03608743169398907,160.16666666666666,24.0,16.1
2270,1560000.0,2,House,10722.0,32656,2.065,-33.97075,151.1214,36,0.1,220.1,14.29,590.0,465.0,14.7,2021,618.1998021760633,16,0.10127591706539076,0.0033891547049441787,86909.4488188976,5,4,3,4,7,0.024544,0.03691603053435114,65.85714285714286,10.9,10.7
2271,2145000.0,6,House,6912.0,25740,2.003,-33.93108,151.21145,18,0.1,220.1,7.32,750.0,475.0,11.4,2021,717.1117705242334,30,0.10127591706539076,0.0033891547049441787,-113090.5511811024,5,5,3,3,5,0.02689655172413793,0.041864406779661016,130.2,9.0,10.5
2272,1050000.0,2,House,1114.0,35464,0.428,-33.98259,151.13977,12,1.5,153.5,14.55,650.0,550.0,13.9,2019,643.5643564356436,13,0.10127591706539076,0.0011961722488038277,36909.448818897596,5,5,3,4,3,0.026,0.04205882352941177,223.33333333333334,17.6,17.1
2273,2230000.0,2,House,7009.0,40404,6.675,-33.7702,151.24964,92,0.1,220.1,11.16,850.0,595.0,13.0,2021,791.2957467853611,18,0.07236842105263158,0.0027910685805422647,388292.0110192837,5,5,4,5,5,0.027625,0.04236471123237835,123.8,29.8,24.7
2274,1400000.0,2,Duplex,39594.0,40924,18.81,-33.72933,150.99777,112,0.1,220.1,24.76,690.0,550.0,13.9,2021,741.839762611276,15,0.06120414673046252,0.0085725677830941,-252687.29641693807,4,4,3,6,5,0.02392,0.033846153846153845,77.2,20.0,17.2
2275,2000000.0,2,House,10078.0,45604,0.805,-33.90769,151.2083,23,1.5,169.8,4.72,975.0,740.0,16.5,2018,693.4125804853888,29,0.015151515151515152,0.0023923444976076554,481578.9473684211,5,2,3,7,6,0.03621428571428571,0.04182608695652174,25.833333333333332,13.1,8.1
